country,index,time,count,total_encounter_duration
CAN,33,1969-01-01 00:00:00+00:00,10,0 days 11:17:04
CAN,34,1970-01-01 00:00:00+00:00,10,0 days 01:33:05
CAN,35,1971-01-01 00:00:00+00:00,4,0 days 00:53:03
CAN,36,1972-01-01 00:00:00+00:00,8,0 days 06:21:02
CAN,37,1973-01-01 00:00:00+00:00,9,0 days 11:29:00
CAN,38,1974-01-01 00:00:00+00:00,9,0 days 00:48:05
CAN,39,1975-01-01 00:00:00+00:00,11,0 days 03:51:00
CAN,40,1976-01-01 00:00:00+00:00,6,0 days 01:35:08
CAN,41,1977-01-01 00:00:00+00:00,13,0 days 08:09:07
CAN,42,1978-01-01 00:00:00+00:00,12,0 days 02:33:15
CAN,43,1979-01-01 00:00:00+00:00,10,0 days 01:22:45
CAN,44,1980-01-01 00:00:00+00:00,7,0 days 00:41:00
CAN,45,1981-01-01 00:00:00+00:00,5,0 days 10:56:30
CAN,46,1982-01-01 00:00:00+00:00,9,0 days 02:02:33
CAN,47,1983-01-01 00:00:00+00:00,6,0 days 03:31:36
CAN,48,1984-01-01 00:00:00+00:00,10,3 days 05:46:30
CAN,49,1985-01-01 00:00:00+00:00,10,0 days 00:53:10
CAN,50,1986-01-01 00:00:00+00:00,4,0 days 00:22:30
CAN,51,1987-01-01 00:00:00+00:00,12,0 days 05:26:05
CAN,52,1988-01-01 00:00:00+00:00,10,0 days 12:19:15
CAN,53,1989-01-01 00:00:00+00:00,7,0 days 01:48:35
CAN,54,1990-01-01 00:00:00+00:00,15,0 days 01:03:20
CAN,55,1991-01-01 00:00:00+00:00,13,0 days 02:38:27
CAN,56,1992-01-01 00:00:00+00:00,11,0 days 05:49:23
CAN,57,1993-01-01 00:00:00+00:00,16,0 days 07:25:00
CAN,58,1994-01-01 00:00:00+00:00,20,0 days 08:16:09
CAN,59,1995-01-01 00:00:00+00:00,25,0 days 05:19:18.300000
CAN,60,1996-01-01 00:00:00+00:00,41,2 days 22:46:52
CAN,61,1997-01-01 00:00:00+00:00,52,0 days 10:38:12
CAN,62,1998-01-01 00:00:00+00:00,75,0 days 15:38:54
CAN,63,1999-01-01 00:00:00+00:00,114,1 days 00:36:18
CAN,64,2000-01-01 00:00:00+00:00,113,3 days 23:47:28.500000
